op,dtype,mode,shape,latency_base_ms,latency_ms,speedup
CUTENSOR_OP_CONJ,cf128,kernel,[[524288]],0.063231,0.049962,1.2656
CUTENSOR_OP_CONJ,cf128,kernel,[[1048576]],0.104000,0.083577,1.2444
CUTENSOR_OP_CONJ,cf128,kernel,[[2097152]],0.190827,0.149212,1.2789
CUTENSOR_OP_CONJ,cf128,kernel,[[4194304]],0.366385,0.282712,1.2960
CUTENSOR_OP_CONJ,cf128,kernel,[[8388608]],0.715962,0.542077,1.3208
CUTENSOR_OP_CONJ,cf128,kernel,"[[128,128]]",0.013596,0.007500,1.8128
CUTENSOR_OP_CONJ,cf128,kernel,"[[32,64,16]]",0.016096,0.008577,1.8767
CUTENSOR_OP_CONJ,cf128,kernel,"[[64,256]]",0.013712,0.007519,1.8235
CUTENSOR_OP_CONJ,cf128,kernel,"[[16,64,64]]",0.017096,0.010135,1.6869
CUTENSOR_OP_CONJ,cf128,kernel,"[[256,512]]",0.021365,0.015827,1.3499
CUTENSOR_OP_CONJ,cf128,kernel,"[[128,1024]]",0.021404,0.015788,1.3557
CUTENSOR_OP_CONJ,cf128,kernel,"[[64,64,64]]",0.036212,0.027558,1.3140
CUTENSOR_OP_CONJ,cf128,kernel,"[[128,128,64]]",0.104423,0.083827,1.2457
CUTENSOR_OP_COS,fp16,kernel,[[1024]],0.008119,0.004069,1.9953
CUTENSOR_OP_COS,fp16,kernel,[[2048]],0.007346,0.004038,1.8190
CUTENSOR_OP_COS,fp16,kernel,[[4096]],0.008038,0.004327,1.8578
CUTENSOR_OP_COS,fp16,kernel,[[8192]],0.008904,0.004808,1.8520
CUTENSOR_OP_COS,fp16,kernel,[[16384]],0.010481,0.005558,1.8858
CUTENSOR_OP_COS,fp16,kernel,[[32768]],0.013462,0.007058,1.9074
CUTENSOR_OP_COS,fp16,kernel,[[65536]],0.014192,0.007058,2.0109
CUTENSOR_OP_COS,fp16,kernel,[[131072]],0.014135,0.007577,1.8655
CUTENSOR_OP_COS,fp16,kernel,[[262144]],0.015596,0.008692,1.7942
CUTENSOR_OP_COS,fp16,kernel,[[524288]],0.018538,0.010635,1.7432
CUTENSOR_OP_COS,fp16,kernel,[[1048576]],0.022173,0.014212,1.5602
CUTENSOR_OP_COS,fp16,kernel,[[2097152]],0.037038,0.025154,1.4725
CUTENSOR_OP_COS,fp16,kernel,[[4194304]],0.067077,0.048038,1.3963
CUTENSOR_OP_COS,fp16,kernel,[[8388608]],0.146538,0.076808,1.9079
CUTENSOR_OP_COS,fp16,kernel,"[[128,128]]",0.010423,0.005519,1.8885
CUTENSOR_OP_COS,fp16,kernel,"[[32,64,16]]",0.013519,0.006923,1.9528
CUTENSOR_OP_COS,fp16,kernel,"[[64,256]]",0.010423,0.005558,1.8754
